Driver,EventName,TyreLife,exact_compound,delta_from_fresh,dirty_air,TrackTemp,AirTemp
VER,Bahrain Grand Prix,5.0,C3,0.0,0.0,23.8,18.3
LEC,Bahrain Grand Prix,5.0,C3,0.0,0.8026,23.8,18.3
RUS,Bahrain Grand Prix,5.0,C3,0.17419230769230865,0.8086,23.8,18.3
PER,Bahrain Grand Prix,5.0,C3,0.0,0.835,23.8,18.3
SAI,Bahrain Grand Prix,5.0,C3,0.10119230769231535,0.8866,23.8,18.3
ALO,Bahrain Grand Prix,5.0,C3,0.13438461538461866,0.7882,23.8,18.3
NOR,Bahrain Grand Prix,5.0,C3,0.45038461538462116,0.9022,23.8,18.3
PIA,Bahrain Grand Prix,5.0,C3,0.3753846153846183,0.929,23.8,18.3
HAM,Bahrain Grand Prix,5.0,C3,0.1599615384615305,0.8802,23.8,18.3
TSU,Bahrain Grand Prix,2.0,C3,0.10105882352939943,0.9274,23.8,18.3
ALB,Bahrain Grand Prix,2.0,C3,0.13155882352940296,0.9194,23.8,18.3
MAG,Bahrain Grand Prix,2.0,C3,0.22805882352940898,0.9077999999999999,23.8,18.3
ZHO,Bahrain Grand Prix,2.0,C3,0.14105882352940569,0.9096,23.8,18.3
SAR,Bahrain Grand Prix,2.0,C3,-0.14268749999999386,0.776,23.8,18.3
RIC,Bahrain Grand Prix,5.0,C3,0.7872352941176501,0.0,23.8,18.3
OCO,Bahrain Grand Prix,2.0,C3,0.1335588235293983,0.8022,23.8,18.3
GAS,Bahrain Grand Prix,2.0,C3,0.12841836734693857,0.8834,23.8,18.3
BOT,Bahrain Grand Prix,2.0,C3,-0.3169411764705927,0.7408,23.8,18.3
STR,Bahrain Grand Prix,2.0,C3,-0.17340384615384608,0.6644,23.8,18.3
VER,Bahrain Grand Prix,6.0,C3,0.5118076923076842,0.0,23.7,18.3
RUS,Bahrain Grand Prix,6.0,C3,0.0,0.5434,23.7,18.3
LEC,Bahrain Grand Prix,6.0,C3,1.2548076923076934,0.0,23.7,18.3
PER,Bahrain Grand Prix,6.0,C3,0.8108076923076908,0.7078,23.7,18.3
SAI,Bahrain Grand Prix,6.0,C3,0.0,0.7476,23.7,18.3
NOR,Bahrain Grand Prix,6.0,C3,0.28219230769231274,0.5356,23.7,18.3
ALO,Bahrain Grand Prix,6.0,C3,1.2151923076923197,0.0,23.7,18.3
PIA,Bahrain Grand Prix,6.0,C3,0.30619230769229944,0.7588,23.7,18.3
HAM,Bahrain Grand Prix,6.0,C3,0.2447692307692222,0.902,23.7,18.3
TSU,Bahrain Grand Prix,3.0,C3,-0.10105882352941364,0.8442000000000001,23.7,18.3
