lap,delta,compound
1,-0.15960296922901285,C1
2,-0.11331328758565173,C1
3,-0.06635299801276706,C1
4,-0.018722100510357942,C1
5,0.029579404921574293,C1
6,0.07855151828303097,C1
7,0.12819423957401166,C1
8,0.17850756879451635,C1
9,0.22949150594454504,C1
10,0.2811460510240973,C1
11,0.33347120403317354,C1
12,0.3864669649717738,C1
13,0.44013333383989806,C1
14,0.4944703106375463,C1
15,0.5494778953647181,C1
16,0.6051560880214144,C1
17,0.6615048886076342,C1
18,0.7185242971233781,C1
19,0.7762143135686459,C1
20,0.8345749379434377,C1
21,0.8936061702477536,C1
22,0.953308010481593,C1
23,1.0136804586449568,C1
24,1.0747235147378442,C1
25,1.1364371787602552,C1
26,1.1988214507121906,C1
27,1.26187633059365,C1
28,1.3256018184046334,C1
29,1.3899979141451408,C1
30,1.4550646178151714,C1
1,-0.14726848696764017,C2
2,-0.08993050091781218,C2
3,-0.03320808479336734,C2
4,0.02289876140569569,C2
5,0.07839003767937647,C2
6,0.13326574402767455,C2
7,0.18752588045059038,C2
8,0.24117044694812395,C2
9,0.29419944352027527,C2
10,0.3466128701670439,C2
11,0.3984107268884307,C2
12,0.44959301368443483,C2
13,0.5001597305550567,C2
14,0.5501108775002967,C2
15,0.5994464545201537,C2
16,0.6481664616146283,C2
17,0.6962708987837212,C2
18,0.7437597660274313,C2
19,0.7906330633457592,C2
20,0.8368907907387049,C2
21,0.8825329482062683,C2
22,0.927559535748449,C2
23,0.9719705533652478,C2
24,1.015766001056664,C2
25,1.058945878822698,C2
26,1.1015101866633497,C2
27,1.1434589245786186,C2
28,1.1847920925685058,C2
29,1.2255096906330107,C2
30,1.265611718772133,C2
1,-0.13493400470626704,C3
2,-0.06654771424997263,C3
3,-6.317157396762418e-05,C3
4,0.06451962332174932,C3
5,0.12720067043717775,C3
6,0.18797996977231768,C3
7,0.2468575213271691,C3
8,0.30383332510173156,C3
9,0.3589073810960055,C3
10,0.41207968930999095,C3
11,0.4633502497436879,C3
12,0.5127190623970959,C3
13,0.5601861272702153,C3
14,0.6057514443630467,C3
15,0.6494150136755892,C3
16,0.6911768352078427,C3
17,0.7310369089598081,C3
18,0.7689952349314846,C3
19,0.8050518131228726,C3
20,0.839206643533972,C3
21,0.871459726164783,C3
22,0.9018110610153054,C3
23,0.9302606480855393,C3
24,0.9568084873754839,C3
25,0.9814545788851403,C3
26,1.0041989226145083,C3
27,1.0250415185635877,C3
28,1.0439823667323778,C3
29,1.0610214671208797,C3
30,1.0761588197290932,C3
1,-0.12259952244489436,C4
2,-0.04316492758213353,C4
3,0.03308174164543254,C4
4,0.1061404852378034,C4
5,0.17601130319497948,C4
6,0.2426941955169608,C4
7,0.3061891622037478,C4
8,0.36649620325533916,C4
9,0.42361531867173574,C4
10,0.47754650845293756,C4
11,0.5282897725989446,C4
12,0.5758451111097569,C4
13,0.6202125239853744,C4
14,0.6613920112257967,C4
15,0.6993835728310243,C4
16,0.734187208801057,C4
17,0.765802919135895,C4
18,0.7942307038355383,C4
19,0.8194705628999859,C4
20,0.8415224963292391,C4
21,0.8603865041232976,C4
22,0.8760625862821614,C4
23,0.8885507428058299,C4
24,0.8978509736943032,C4
25,0.9039632789475822,C4
26,0.9068876585656664,C4
27,0.9168876585656665,C4
28,0.9268876585656665,C4
29,0.9368876585656665,C4
30,0.9468876585656665,C4
1,-0.11026504018352123,C5
2,-0.019782140914293977,C5
3,0.06622665486483226,C5
4,0.14776134715385703,C5
5,0.22482193595278122,C5
6,0.2974084212616044,C5
7,0.3655208030803261,C5
8,0.42915908140894676,C5
9,0.4883232562474664,C5
10,0.5430133275958846,C5
11,0.5932292954542018,C5
12,0.6389711598224179,C5
13,0.680238920700533,C5
14,0.7170325780885471,C5
15,0.7493521319864598,C5
16,0.777197582394271,C5
17,0.8005689293119815,C5
18,0.8194661727395915,C5
19,0.8338893126770992,C5
20,0.8438383491245067,C5
21,0.8493132820818123,C5
22,0.8503141115490169,C5
23,0.8603141115490169,C5
24,0.8703141115490169,C5
25,0.880314111549017,C5
26,0.890314111549017,C5
27,0.900314111549017,C5
28,0.910314111549017,C5
29,0.920314111549017,C5
30,0.930314111549017,C5
